"원시순위","코드","종목","시장","유니버스","가격","DART","실적지표수","공시일","컴플라이언스","랭킹상태","랭킹","점수","주요 사유"
"132","036460","한국가스공사","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","129","0.43376005464096434","가격·DART·컴플라이언스 조건 모두 통과"
"133","111770","영원무역","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","96","0.5275576309741569","가격·DART·컴플라이언스 조건 모두 통과"
"134","082740","한화엔진","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","79","0.5782859035692509","가격·DART·컴플라이언스 조건 모두 통과"
"135","214150","클래시스","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","176","0.288875756296609","가격·DART·컴플라이언스 조건 모두 통과"
"136","031210","서울보증보험","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"137","017800","현대엘리베이터","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","193","0.23444259767365508","가격·DART·컴플라이언스 조건 모두 통과"
"138","052690","한전기술","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","189","0.2548827153979645","가격·DART·컴플라이언스 조건 모두 통과"
"139","039030","이오테크닉스","KOSDAQ","통과","가용","가용","4","2024-11-14","통과","랭킹 가능","76","0.5824600452605413","가격·DART·컴플라이언스 조건 모두 통과"
"140","240810","원익IPS","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","24","0.7333640249050233","가격·DART·컴플라이언스 조건 모두 통과"
"141","011780","금호석유화학","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","109","0.4853480430092397","가격·DART·컴플라이언스 조건 모두 통과"
"142","097950","CJ제일제당","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","113","0.46998751231180524","가격·DART·컴플라이언스 조건 모두 통과"
"143","041510","에스엠","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","203","0.1989035751137376","가격·DART·컴플라이언스 조건 모두 통과"
"144","071970","HD현대마린엔진","KOSPI","통과","가용","가용","4","2023-11-14","통과","랭킹 가능","180","0.27320124525116085","가격·DART·컴플라이언스 조건 모두 통과"
"145","011170","롯데케미칼","KOSPI","통과","가용","가용","4","2025-11-14","통과","랭킹 가능","151","0.36304456287228554","가격·DART·컴플라이언스 조건 모두 통과"
"146","103140","풍산","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"147","000990","DB하이텍","KOSPI","통과","가용","가용","4","2026-06-01","통과","랭킹 가능","29","0.7001056470146804","가격·DART·컴플라이언스 조건 모두 통과"
"148","145020","휴젤","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","136","0.42161920758876226","가격·DART·컴플라이언스 조건 모두 통과"
"149","226950","올릭스","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","45","0.6559632521926739","가격·DART·컴플라이언스 조건 모두 통과"
"150","088350","한화생명","KOSPI","통과","가용","불충분","1","2024-04-30","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"151","403870","HPSP","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","121","0.45146314080015004","가격·DART·컴플라이언스 조건 모두 통과"
"152","004990","롯데지주","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","148","0.3780902338070447","가격·DART·컴플라이언스 조건 모두 통과"
"153","204320","HL만도","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","99","0.5212631032784578","가격·DART·컴플라이언스 조건 모두 통과"
"154","001450","현대해상","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"155","012750","에스원","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","177","0.28784006964964115","가격·DART·컴플라이언스 조건 모두 통과"
"156","140410","메지온","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","174","0.2987385089817551","가격·DART·컴플라이언스 조건 모두 통과"
"157","026960","동서","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","127","0.43916300243891","가격·DART·컴플라이언스 조건 모두 통과"
"158","004370","농심","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","126","0.44273832137329394","가격·DART·컴플라이언스 조건 모두 통과"
"159","383220","F&F","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","67","0.6097190270156184","가격·DART·컴플라이언스 조건 모두 통과"
"160","042670","HD현대인프라코어","KOSPI","통과","결측: 신호일 종가 없음","가용","4","2025-11-14","통과","미랭킹","","","결측: 신호일 종가 없음"
"161","012510","더존비즈온","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","65","0.6105195288682519","가격·DART·컴플라이언스 조건 모두 통과"
"162","103590","일진전기","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","107","0.48600250340040335","가격·DART·컴플라이언스 조건 모두 통과"
"163","009970","영원무역홀딩스","KOSPI","통과","가용","가용","3","2024-05-16","통과","랭킹 가능","155","0.3519104794959586","가격·DART·컴플라이언스 조건 모두 통과"
"164","439260","대한조선","KOSPI","통과","결측: 273거래일 미만","불충분","2","2026-05-15","통과","미랭킹","","","결측: 273거래일 미만"
"165","035900","JYP Ent.","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","196","0.2286871804793396","가격·DART·컴플라이언스 조건 모두 통과"
"166","014680","한솔케미칼","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","64","0.6118329053515313","가격·DART·컴플라이언스 조건 모두 통과"
"167","081660","미스토홀딩스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","42","0.6625303398058253","가격·DART·컴플라이언스 조건 모두 통과"
"168","475830","오름테라퓨틱","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"169","068760","셀트리온제약","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","197","0.2282704844988509","가격·DART·컴플라이언스 조건 모두 통과"
"170","139130","iM금융지주","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"171","000240","한국앤컴퍼니","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"172","008930","한미사이언스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","157","0.3434558651095164","가격·DART·컴플라이언스 조건 모두 통과"
"173","237690","에스티팜","KOSDAQ","통과","가용","가용","4","2026-06-02","통과","랭킹 가능","33","0.6854131196941982","가격·DART·컴플라이언스 조건 모두 통과"
"174","030000","제일기획","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","166","0.32014469302565546","가격·DART·컴플라이언스 조건 모두 통과"
"175","263750","펄어비스","KOSDAQ","통과","가용","가용","4","2026-03-19","통과","랭킹 가능","208","0.12230573730125228","가격·DART·컴플라이언스 조건 모두 통과"
"176","004170","신세계","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","12","0.7903410956334131","가격·DART·컴플라이언스 조건 모두 통과"
"177","257720","실리콘투","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","128","0.43579361310445097","가격·DART·컴플라이언스 조건 모두 통과"
"178","095340","ISC","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","28","0.7066432156090239","가격·DART·컴플라이언스 조건 모두 통과"
"179","353200","대덕전자","KOSPI","통과","가용","불충분","2","2021-05-14","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"180","009420","한올바이오파마","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","13","0.7762711352657005","가격·DART·컴플라이언스 조건 모두 통과"
"181","489790","한화비전","KOSPI","통과","가용","가용","4","2026-05-13","통과","랭킹 가능","207","0.12415142347919891","가격·DART·컴플라이언스 조건 모두 통과"
"182","003690","코리안리","KOSPI","통과","가용","결측","0","2026-05-29","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"183","139480","이마트","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","139","0.4105037287181652","가격·DART·컴플라이언스 조건 모두 통과"
"184","051600","한전KPS","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","159","0.33964304558885605","가격·DART·컴플라이언스 조건 모두 통과"
"185","476830","알지노믹스","KOSDAQ","통과","결측: 273거래일 미만","결측","0","","통과","미랭킹","","","결측: 273거래일 미만"
"186","001720","신영증권","KOSPI","통과","가용","불충분","1","2026-04-09","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"187","000120","CJ대한통운","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","199","0.22483543220299237","가격·DART·컴플라이언스 조건 모두 통과"
"188","010060","OCI홀딩스","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","37","0.671978301908916","가격·DART·컴플라이언스 조건 모두 통과"
"189","002790","아모레퍼시픽홀딩스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","154","0.3592416807373013","가격·DART·컴플라이언스 조건 모두 통과"
"190","462870","시프트업","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","156","0.34845349068993015","가격·DART·컴플라이언스 조건 모두 통과"
"191","319400","현대무벡스","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","105","0.49799830566108527","가격·DART·컴플라이언스 조건 모두 통과"
"192","018670","SK가스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","47","0.6452890342854463","가격·DART·컴플라이언스 조건 모두 통과"
"193","011210","현대위아","KOSPI","통과","가용","불충분","1","2017-03-31","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"194","028670","팬오션","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","54","0.6365981895783499","가격·DART·컴플라이언스 조건 모두 통과"
"195","023530","롯데쇼핑","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","21","0.7385934055625909","가격·DART·컴플라이언스 조건 모두 통과"
"196","361610","SK아이이테크놀로지","KOSPI","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"197","357780","솔브레인","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","39","0.6684617865015712","가격·DART·컴플라이언스 조건 모두 통과"
"198","018880","한온시스템","KOSPI","통과","가용","가용","3","2026-05-14","통과","랭킹 가능","88","0.5510177759016932","가격·DART·컴플라이언스 조건 모두 통과"
"199","069960","현대백화점","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","63","0.6132204751184278","가격·DART·컴플라이언스 조건 모두 통과"
"200","445680","큐리옥스바이오시스템즈","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"201","069620","대웅제약","KOSPI","통과","가용","결측","0","2026-05-15","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"202","005850","에스엘","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","56","0.6340752075418601","가격·DART·컴플라이언스 조건 모두 통과"
"203","004800","효성","KOSPI","통과","가용","가용","3","2024-05-21","통과","랭킹 가능","61","0.6202413895533355","가격·DART·컴플라이언스 조건 모두 통과"
"204","097230","HJ중공업","KOSPI","통과","가용","가용","3","2026-05-15","통과","랭킹 가능","73","0.5908181292309617","가격·DART·컴플라이언스 조건 모두 통과"
"205","336260","두산퓨얼셀","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","23","0.7351862893391492","가격·DART·컴플라이언스 조건 모두 통과"
"206","005290","동진쎄미켐","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","77","0.579929148492097","가격·DART·컴플라이언스 조건 모두 통과"
"207","000155","두산우","KOSPI","제외","미평가","미평가","","","미평가","미랭킹","","","우선주"
"208","006280","녹십자","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","163","0.3296636238919375","가격·DART·컴플라이언스 조건 모두 통과"
"209","192820","코스맥스","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","104","0.5004177512780826","가격·DART·컴플라이언스 조건 모두 통과"
"210","006040","동원산업","KOSPI","통과","가용","가용","4","2023-05-15","통과","랭킹 가능","153","0.36117451690821256","가격·DART·컴플라이언스 조건 모두 통과"
"211","032350","롯데관광개발","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","182","0.2628181429107453","가격·DART·컴플라이언스 조건 모두 통과"
"212","222800","심텍","KOSDAQ","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","4","0.867744447962103","가격·DART·컴플라이언스 조건 모두 통과"
"213","160190","하이젠알앤엠","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"214","483650","달바글로벌","KOSPI","통과","가용","가용","4","2026-05-13","통과","랭킹 가능","38","0.6709770003752169","가격·DART·컴플라이언스 조건 모두 통과"
"215","282330","BGF리테일","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","112","0.47389721401435203","가격·DART·컴플라이언스 조건 모두 통과"
"216","058610","에스피지","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"217","001430","세아베스틸지주","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","144","0.39566255100605036","가격·DART·컴플라이언스 조건 모두 통과"
"218","457190","이수스페셜티케미컬","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","145","0.3936899652924347","가격·DART·컴플라이언스 조건 모두 통과"
"219","112610","씨에스윈드","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","194","0.23399688100933352","가격·DART·컴플라이언스 조건 모두 통과"
"220","008770","호텔신라","KOSPI","통과","가용","불충분","2","2025-11-14","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"221","437730","삼현","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"222","023590","다우기술","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","80","0.5756737488860748","가격·DART·컴플라이언스 조건 모두 통과"
"223","039200","오스코텍","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"224","084370","유진테크","KOSDAQ","통과","가용","가용","4","2026-05-13","통과","랭킹 가능","11","0.7928554300923971","가격·DART·컴플라이언스 조건 모두 통과"
"225","395400","SK리츠","KOSPI","제외","미평가","미평가","","","미평가","미랭킹","","","ETF·ETN·SPAC·리츠 등 비보통주 상품"
"226","067310","하나마이크론","KOSDAQ","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","2","0.9081049200318934","가격·DART·컴플라이언스 조건 모두 통과"
"227","267270","HD현대건설기계","KOSPI","통과","가용","가용","4","2026-06-02","통과","랭킹 가능","81","0.5723609645420008","가격·DART·컴플라이언스 조건 모두 통과"
"228","089030","테크윙","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"229","006360","GS건설","KOSPI","통과","가용","가용","4","2026-07-01","통과","랭킹 가능","78","0.5784244700060973","가격·DART·컴플라이언스 조건 모두 통과"
"230","073240","금호타이어","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","97","0.5256641925800853","가격·DART·컴플라이언스 조건 모두 통과"
"231","007070","GS리테일","KOSPI","통과","가용","가용","4","2022-05-16","통과","랭킹 가능","48","0.6418891585760518","가격·DART·컴플라이언스 조건 모두 통과"
"232","085620","미래에셋생명","KOSPI","통과","가용","결측","0","2026-05-29","통과","미랭킹","","","기준일까지 매출·EPS가 함께 있는 DART 분기 공시 없음"
"233","064760","티씨케이","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","18","0.7502258629989212","가격·DART·컴플라이언스 조건 모두 통과"
"234","458870","씨어스테크놀로지","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"235","020560","아시아나항공","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","181","0.26789473992777074","가격·DART·컴플라이언스 조건 모두 통과"
"236","083650","비에이치아이","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"237","020150","롯데에너지머티리얼즈","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","92","0.5460732376530182","가격·DART·컴플라이언스 조건 모두 통과"
"238","375500","DL이앤씨","KOSPI","통과","가용","불충분","2","2024-08-14","통과","미랭킹","","","YoY·QoQ 비교 가능 실적 지표가 3개 미만"
"239","047040","대우건설","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","9","0.8082404671450683","가격·DART·컴플라이언스 조건 모두 통과"
"240","466100","클로봇","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"241","098460","고영","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","26","0.7227288236949487","가격·DART·컴플라이언스 조건 모두 통과"
"242","060370","LS마린솔루션","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"243","065350","신성델타테크","KOSDAQ","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"244","003570","SNT다이내믹스","KOSPI","통과","가용","가용","4","2026-05-12","통과","랭킹 가능","173","0.29990030369119647","가격·DART·컴플라이언스 조건 모두 통과"
"245","017960","한국카본","KOSPI","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"246","007310","오뚜기","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","147","0.378910346606632","가격·DART·컴플라이언스 조건 모두 통과"
"247","00680K","미래에셋증권2우B","KOSPI","제외","미평가","미평가","","","미평가","미랭킹","","","유효한 6자리 종목코드가 아님"
"248","034230","파라다이스","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","191","0.24173634562168755","가격·DART·컴플라이언스 조건 모두 통과"
"249","290650","엘앤씨바이오","KOSDAQ","통과","가용","가용","4","2024-11-14","통과","랭킹 가능","95","0.5278728131888748","가격·DART·컴플라이언스 조건 모두 통과"
"250","161890","한국콜마","KOSPI","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","20","0.7409264926598189","가격·DART·컴플라이언스 조건 모두 통과"
"251","140860","파크시스템스","KOSDAQ","통과","가용","가용","4","2026-05-14","통과","랭킹 가능","167","0.3200869447962103","가격·DART·컴플라이언스 조건 모두 통과"
"252","294870","HDC현대산업개발","KOSPI","통과","가용","결측","0","","통과","미랭킹","","","DART 분기 패널 없음"
"253","007340","DN오토모티브","KOSPI","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","43","0.6598864382533652","가격·DART·컴플라이언스 조건 모두 통과"
"254","035760","CJ ENM","KOSDAQ","통과","가용","가용","4","2026-05-15","통과","랭킹 가능","171","0.3047712642465175","가격·DART·컴플라이언스 조건 모두 통과"
"255","178320","서진시스템","KOSDAQ","통과","가용","가용","4","2026-06-25","통과","랭킹 가능","119","0.45317840978378127","가격·DART·컴플라이언스 조건 모두 통과"
